label,pca_x,pca_y,tsne_x,tsne_y,lda_x,lda_y,umap_x,umap_y
B6,5294.426681940148,403.1516326796703,38.76452,8.863907,5.451854369594769,-0.7203451877589118,12.385418,-4.329378
B6,-20.621307538072784,892.3646386198274,-7.7688556,12.571148,5.47582965042575,-0.8591284816169655,7.94244,-5.2393656
B6,-4332.865098540045,1956.3872280403718,-43.325172,24.79484,5.423820297121223,-0.5580671754359376,5.4288964,-5.880544
B6,-798.8460636768224,951.6604928497272,-9.424159,9.744796,5.483107468499151,-0.9012568542288322,7.975822,-5.0732245
B6,1591.677323975983,-849.8274194327693,16.348982,-11.851745,5.491169862143163,-0.9479268204402378,10.392817,-2.8143978
B6,-1881.710301413849,-3013.131165968657,-3.1634262,-32.016846,5.561239916499775,-1.353534288105065,8.456164,-2.031029
B6,-47.67888542397258,-35.784322645983096,-3.047012,-42.49847,5.450286140091185,-0.7112673355507029,8.231091,-3.690235
B6,-8027.669655523385,989.5221637119823,-50.071312,6.804845,5.515622250926855,-1.0894719010601852,4.5671883,-5.0588446
B6,-1815.7594513892761,-577.4001325978314,-19.66626,-0.55833405,5.381451641806121,-0.31281200689823496,7.288464,-4.019953
B6,-6588.100944546895,-2316.6194418789564,-49.249264,-5.2875533,5.496920097944349,-0.981212631379337,4.9870462,-3.5883908
B6,1569.2877150787103,622.7559981904125,15.349267,7.175499,5.613619911101785,-1.6567410882412787,10.09845,-4.602425
B6,-3981.496387242881,-2094.832219442789,-37.612827,-21.548958,5.510973263372834,-1.0625607749541572,5.8759217,-2.357288
B6,-3810.8824380784818,-1536.853627670053,-21.624268,5.772465,5.4547203010458825,-0.7369349165534405,5.516721,-2.9110565
B6,1368.9761231640596,-753.6138872758335,4.994439,-0.6826631,5.5183340407184485,-1.1051693655517099,8.971673,-4.289369
B6,827.7265447238708,935.7555905885995,6.0182056,-3.8317897,5.411674785964846,-0.4877616780469385,9.170832,-3.534705
B6,-4461.990173322205,-3222.165457127371,-36.072414,-14.350739,5.457523094408943,-0.7531591642554992,5.750296,-2.9107294
B6,1213.3224839647473,1650.2492616019908,9.691979,8.907679,5.502426546069795,-1.0130872531486885,9.451062,-4.543687
B6,-2428.1556126884243,1724.6764957221494,1.089559,29.066141,5.4126691395458595,-0.493517592491109,8.12359,-4.1021433
B6,1068.5121971066342,-1108.6800125864465,15.462024,-15.016953,5.454344686663077,-0.7347606353996539,9.971168,-2.8409004
B6,-874.4911366053052,-1490.602220437529,-8.466301,-13.467567,5.511822674725708,-1.0674776769178842,7.896247,-2.9258552
B6,-2570.484289190905,-1701.4572231504733,-9.811346,-19.11149,5.517899490857783,-1.1026539305318759,8.015494,-2.6022363
B6,-2565.2925992260284,1452.9685005855636,-31.79585,12.628159,5.44220334058767,-0.6644792479952961,6.2441826,-5.4271398
B6,-2262.2677774890635,1051.3673866115382,-22.246813,22.655823,5.396363463634053,-0.3991305683067221,7.0519643,-5.649434
B6,-2736.1741296308905,1408.569252579396,-27.14435,20.675327,5.405987198655589,-0.45483851412478793,6.6229672,-5.448551
B6,4770.706512147123,181.3699114318415,33.380917,4.7770534,5.317588170129067,0.05686804060681805,11.909295,-4.139153
B6,-2996.5611651056765,-3069.106898389171,-35.924694,-21.316092,5.4389167885684975,-0.6454547152743161,6.052843,-2.268614
B6,-5652.9488820571405,-608.2111172916259,-49.444515,-13.61256,5.518666183313305,-1.1070920059437759,5.812637,-3.6189764
B6,241.75535446402807,-3162.2166960528516,6.287405,-22.544249,5.410603714727561,-0.4815616758318779,9.188778,-2.2411819
B6,3327.2564022303873,-1614.5818051315946,35.42023,-26.657112,5.562981123866972,-1.3636134398534754,11.3642,-2.0053442
B6,-69.9289734506594,751.2808786729192,2.4830506,2.6129854,5.527731468046094,-1.1595673068108738,9.11562,-4.209127
B6,4468.566892632363,493.9072197548264,40.65985,17.47141,5.147665663921501,1.0404813412519618,12.791369,-4.250671
B6,211.00793389409935,-1032.3423635662452,14.475322,-38.544285,5.433764073861578,-0.6156277145242266,9.443374,-2.443563
B6,-1177.3695057251143,-4591.634354293611,-11.577339,-27.775671,5.4263533542556885,-0.5727300281941154,7.05904,-2.3954387
B6,1138.3601816744206,-2628.190764461908,18.84366,-19.195984,5.424080407911864,-0.5595728525772374,10.236424,-2.3766065
B6,-5748.135981561695,-995.5362141018292,-42.209755,-15.18904,6.38176694276926,-6.103236458760899,5.1707697,-2.8306305
B6,-2650.2257449644744,-1189.6905316441562,-18.486761,-2.4545665,5.5357632791581315,-1.2060602429995955,6.886949,-3.9142416
B6,-3048.3905038051594,2668.6573539930373,-30.472502,11.176063,5.489000689981764,-0.935370351983488,5.7373986,-5.4818335
B6,-750.3322260328895,1876.6900002160753,-13.03658,24.476255,5.458689516661139,-0.7599111152894436,7.828445,-4.6595774
B6,-2371.0208249830566,-1417.0465365534662,-20.188234,-10.312771,5.430321480664593,-0.5956999219506791,6.8473263,-3.2873282
B6,3073.964833508979,-2772.6717406131625,34.58753,-26.346716,5.487012125615142,-0.9238593496807896,11.349185,-1.8790092
B6,-7131.7785338720105,-707.4940729094918,-50.237427,-2.931509,5.472573417765298,-0.8402794555151236,4.8240795,-3.4699392
B6,-868.2315923205534,1163.919126185646,-14.342219,-2.3450584,5.429034806339652,-0.5882518798528187,7.421651,-3.9589684
B6,-10007.548753573894,2911.4659939791222,-52.759384,11.934553,5.439085328027297,-0.6464303226677597,4.1214375,-5.2764306
B6,619.2674859434935,398.3936293718539,1.4204137,10.499428,5.4538441009497545,-0.7318629452893515,9.102865,-4.4296727
B6,995.9096318290585,666.4143571363551,-3.0787792,6.0813003,-0.21881750868907218,-1.39812535995887,8.827829,-4.6358323
B6,0.39270609475069396,-0.8081120219240504,0.8460162,-10.688142,5.431023372392229,-0.5997628919146978,8.626896,-3.8828006
B6,407.2785164695094,-401.75025996635736,19.899702,-41.334267,5.489997311106984,-0.9411393923319578,9.816371,-3.1028996
B6,1538.4040482583823,-4077.78676617152,31.770245,-26.833885,5.544024395881803,-1.2538805374907986,11.0370455,-2.0783331
B6,1623.5207903084342,-960.9201159799654,13.101041,-2.3080986,5.578791725878784,-1.4551346796065818,9.961521,-3.4028442
B6,2060.5236347790324,63.24491300526027,20.884811,5.0418897,5.466943294747928,-0.8076889293525511,10.607795,-3.8780694
B6,-3587.5906671708367,1653.7303481478366,-37.111614,11.135205,5.343326412115141,-0.09212032896109323,5.623459,-5.265714
B6,1542.3641214517074,-73.01084418020048,10.888174,-0.5863061,5.243701162580909,0.484570320847779,9.948123,-4.082064
B6,-1989.9095973028116,148.6158004832408,-21.290733,13.2238455,5.5311730669915455,-1.179489344060737,7.263442,-4.7843194
B6,-3164.1392095639453,253.6773014649228,-30.139166,5.748104,5.466054327017025,-0.8025430513664471,6.0761337,-4.62562
B6,-759.6212263177479,-1010.5754753092062,-5.8969493,-3.1010563,5.557142767472511,-1.3298175341099072,7.3766117,-2.9342914
B6,3488.5758157286077,-2041.2622284546087,38.574753,-22.467955,5.473530236975188,-0.8458180985242311,11.800903,-1.8840739
B6,-1016.0891668723214,922.4281817955912,-17.319162,-6.6497307,5.41074293381808,-0.48236755936172004,7.26574,-3.423734
B6,-4172.2059637343355,1028.5910993342702,-39.89011,11.80372,5.455710058182747,-0.7426642240238674,5.4194713,-5.5735536
B6,-1566.032080515231,450.39251696605453,-8.816578,5.797233,5.445832178457036,-0.6854851363491692,7.807868,-4.672474
B6,-6880.850580328659,1275.77181293389,-42.97954,8.293173,5.4781370369177935,-0.8724850174517487,5.198157,-5.334365
B6,-3412.9700815610004,-201.25091146209613,-25.764887,-0.32270664,5.502426016475868,-1.013084187541894,6.548702,-4.2985945
B6,613.3052798320588,-2599.720299046723,16.81227,-33.624916,5.497696394387317,-0.9857063004266944,9.635016,-1.6460525
B6,4225.702789754161,-655.3230257441969,36.266277,20.659285,5.338147413819707,-0.06214118304846816,12.874168,-3.4314282
