0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
-3.3191879,0.44570813,2.2766547,-3.1318092,2.0435412,0.51271105,-5.8273325,1.9606857,2.4320486,-6.525659,2.3673098,3.354951,-5.6052914,1.8009666,2.7884326,-5.032844,-0.8738825,4.5038166,-3.5352933,1.1017588,1.5808585,-2.445041,0.19856556,2.1968253,-4.45722,0.45769536,3.179545,-3.1542706,0.7360433,1.2550114,-4.87496,0.56653774,3.0224905,-4.489488,0.46713868,3.2047358,-2.6392121,0.15939935,1.5256635
-2.0283024,-2.9593291,4.088596,-1.8472573,-2.7842898,3.6210976,-1.8746823,-3.5343769,4.3222365,-4.6112766,1.3544791,2.2665455,-3.3034456,-1.2200516,3.4761012,-3.0711274,0.054259866,2.507403,-3.5874693,-0.40357706,3.773906,-5.0529723,-3.4453201,7.4499774,-4.3556466,0.82836443,2.2746365,-0.79674965,-3.6293797,3.0274036,-2.8942711,-2.517831,4.7436767,-3.6748166,-2.3671417,5.466104,-3.1239786,0.72602636,1.3713269
-3.965317,-2.0456889,5.6727443,-4.602128,0.9697684,3.0768075,-7.2071786,3.4639287,3.5311353,-5.609643,0.34655413,4.361182,-5.106827,1.3201869,3.3931844,-6.1398873,-1.1633486,6.428064,-5.1046968,-2.409395,6.4948983,-4.9242015,-2.5197546,6.6148663,-2.8558834,-0.5927901,2.8292959,-4.873442,0.55286825,3.3483014,-3.9332678,-1.6619565,5.021242,-3.605929,0.15975288,3.262378,-5.459847,2.7963638,1.2920165
-4.410528,-0.518855,3.8275287,-3.3712451,1.3100858,1.1460649,-3.7480657,-0.26078716,3.6099484,-2.829898,-1.0935017,3.5532646,-1.1377873,-1.1052305,2.0191672,-3.8451486,0.9783346,1.476611,-2.2654748,-0.57165456,2.7192485,-2.978545,-0.3720415,3.1479719,-0.7332445,-2.1187086,2.8111048,-3.8869333,1.7797463,0.4420913,-4.1489224,1.3168503,1.7218609,-4.7326245,0.7283858,2.5507143,-1.5096334,0.61594445,0.08641913
-3.5210037,1.1923608,1.792928,-0.84893847,1.1875864,-0.051433798,-5.0827246,1.5745363,1.7652757,-6.3236656,2.2372794,2.4717948,-1.2850983,0.8263117,0.3919726,-6.74336,1.774013,2.8976016,-3.385614,1.7415714,1.2228044,-4.4714904,2.0848815,1.2210178,-6.527935,1.8062725,2.5736055,-5.0220404,1.3123697,2.0986648,-7.090514,2.340843,2.7256591,-5.8736277,2.1106255,2.2826743,-5.483963,1.7358387,2.123721
-5.0823593,-2.8579104,7.55731,-2.6837845,-2.4516973,5.255694,-3.6046414,-2.9967048,6.622994,-4.725979,0.06769984,4.3353605,-5.223876,1.5842922,2.6714208,-3.332869,-2.5540318,5.808401,-4.3459396,-2.45206,7.017688,-4.9059763,-0.01469574,4.693685,-5.2386007,-1.5507855,5.914972,-4.1886697,-2.2290013,5.852172,-2.5615754,-1.4515005,4.0433974,-4.2701626,-3.5993676,7.1951747,-3.9115403,-1.1660861,4.599967
-2.2433434,-1.5557221,2.9979038,-2.95136,0.4211447,1.830118,-4.523898,0.90659726,2.7144806,-3.4100654,1.6437515,0.92488456,-3.5701556,1.8688023,0.5256791,-4.0554633,0.73079896,2.3935668,-4.364721,1.4577194,2.271503,-0.5196125,-0.5353561,1.0855136,-4.2642617,1.9737779,0.98722017,-4.5717425,1.5751181,1.3266934,-4.155054,2.191781,0.8599632,-1.6900836,1.028203,-0.31670427,-4.327402,1.0256829,2.5928478
-3.7951498,-3.3793256,6.975394,-4.1559873,-2.8642628,6.6335163,-3.307996,-0.8354017,4.4508204,-1.3385892,-0.35590515,1.2084863,-2.7432437,0.76582664,1.5451566,-2.3918316,-2.586933,5.072043,-2.2308972,-2.9629571,4.6967483,-3.3422036,-2.6982188,5.311105,-5.4842987,-3.45194,7.3632607,-2.3049502,-2.7150962,4.777297,-0.8504121,-3.4708238,4.370877,-2.3418527,-2.8555965,5.093684,-3.2352245,-2.745937,5.9607167
-6.5360856,1.0231749,3.4769003,-6.168876,1.9632133,1.9933428,-5.683776,0.9772511,2.9316022,-4.408312,0.75085795,2.5527406,-4.752635,0.1953993,2.930605,-4.352812,0.5680161,2.33386,-5.6650496,-0.11985999,4.3280807,-4.0434217,-0.4531973,3.017962,-4.4764795,0.53235245,2.9100752,-4.2806478,1.7917802,0.74852836,-6.1954055,1.8094163,2.9927654,-5.236283,0.7942606,2.4833655,-4.137722,0.90907294,2.0551922
-3.487502,-2.1781216,5.4382296,-5.8155026,0.16993812,4.030281,-6.5488253,0.34107563,5.3869295,-6.8568907,-2.3889596,8.233224,-4.741829,0.06760385,4.292214,-4.3524733,-1.3613309,4.84001,-4.20761,-2.7703223,6.0376816,-4.668291,-2.6433742,5.9887123,-4.5910316,-1.9054356,5.749851,-5.692296,0.55186,3.9792054,-4.8581514,-1.6655698,5.905253,-3.854902,-3.2043347,6.032115,-4.0145264,-1.9481255,5.4535465
